5 Min-Time Frames,BSEB Act,JSEB Act,DVC Act,GRIDCO Act,WBSEB Act,SIKKIM Act
2022-01-01 00:00:00+05:30,2530.77,764.55,-1050.27,2524.01,-230.13,52.21
2022-01-01 00:05:00+05:30,2516.6733,757.89996,-1062.7167,2539.23,-251.1,52.489998
2022-01-01 00:10:00+05:30,2502.5767,751.25,-1075.1633,2554.45,-272.07,52.77
2022-01-01 00:15:00+05:30,2488.48,744.6,-1087.61,2569.67,-293.04,53.05
2022-01-01 00:20:00+05:30,2477.8232,742.06665,-1077.13,2608.5632,-318.79666,52.81
2022-01-01 00:25:00+05:30,2467.1667,739.5333,-1066.65,2647.4568,-344.55334,52.57
2022-01-01 00:30:00+05:30,2456.51,737,-1056.17,2686.35,-370.31,52.33
2022-01-01 00:35:00+05:30,2448.9966,732.62,-1039.4667,2687.0466,-393.08334,51.77
2022-01-01 00:40:00+05:30,2441.4834,728.24,-1022.76337,2687.7434,-415.85666,51.210003
2022-01-01 00:45:00+05:30,2433.97,723.86,-1006.06,2688.44,-438.63,50.65
2022-01-01 00:50:00+05:30,2424.3132,720.0933,-1030.6866,2637.1733,-454.76334,50.306667
2022-01-01 00:55:00+05:30,2414.6567,716.32666,-1055.3132,2585.9065,-470.89667,49.963333
2022-01-01 01:00:00+05:30,2405,712.56,-1079.94,2534.64,-487.03,49.62
2022-01-01 01:05:00+05:30,2397.4766,716.43,-1082.44,2485.7034,-510.33334,49.38
2022-01-01 01:10:00+05:30,2389.9534,720.3,-1084.94,2436.7666,-533.63666,49.14
2022-01-01 01:15:00+05:30,2382.43,724.17,-1087.44,2387.83,-556.94,48.9
2022-01-01 01:20:00+05:30,2379.53,722.75665,-1095.62,2439.2234,-568.47003,48.63
2022-01-01 01:25:00+05:30,2376.63,721.3433,-1103.7999,2490.6167,-580,48.36
2022-01-01 01:30:00+05:30,2373.73,719.93,-1111.98,2542.01,-591.53,48.09
2022-01-01 01:35:00+05:30,2370.1133,716.1567,-1105.9333,2540.8767,-607.07336,47.91
2022-01-01 01:40:00+05:30,2366.4966,712.3833,-1099.8866,2539.7434,-622.61664,47.73
2022-01-01 01:45:00+05:30,2362.88,708.61,-1093.84,2538.61,-638.16,47.55
2022-01-01 01:50:00+05:30,2354.4333,699.2233,-1112.2433,2537.5535,-643.99,47.336666
2022-01-01 01:55:00+05:30,2345.9866,689.8367,-1130.6467,2536.4966,-649.82,47.123333
2022-01-01 02:00:00+05:30,2337.54,680.45,-1149.05,2535.44,-655.65,46.91
2022-01-01 02:05:00+05:30,2331.0732,678.31,-1157.7034,2461.4233,-667.8,46.746666
2022-01-01 02:10:00+05:30,2324.6067,676.17004,-1166.3567,2387.4065,-679.95,46.583332
2022-01-01 02:15:00+05:30,2318.14,674.03,-1175.01,2313.39,-692.1,46.42
2022-01-01 02:20:00+05:30,2316.7366,672.2867,-1168.3733,2330.4932,-695.4667,46.163334
2022-01-01 02:25:00+05:30,2315.3333,670.54333,-1161.7367,2347.5967,-698.8333,45.906666
2022-01-01 02:30:00+05:30,2313.93,668.8,-1155.1,2364.7,-702.2,45.65
2022-01-01 02:35:00+05:30,2308.2065,672.6533,-1133.1666,2402.8032,-718.00665,45.716667
2022-01-01 02:40:00+05:30,2302.4834,676.50665,-1111.2334,2440.9067,-733.81335,45.783333
2022-01-01 02:45:00+05:30,2296.76,680.36,-1089.3,2479.01,-749.62,45.85
2022-01-01 02:50:00+05:30,2296.41,681.92,-1099.6067,2496.8667,-742.8833,45.686665
